aurl,a,b,c,alpha,beta,gamma,density,enthalpy_formation_atom,spacegroup_relax,volume_cell,avg_en_dev,avg_mendeleev,p_fraction,group_std,num_unique_elements,num_constituent_atoms,egap
TRI/Li7P3S11_ICSD_157654,12.478683,6.308152,12.712537,74.039435,66.440589,77.556171,1.87439,-0.852936,2,875.575,1.0667,11.5238,0.6023,7.1504,3.0000,21.0000,2.5900
MCLC/Al1As3Cl4Se4_ICSD_415504,12.478099,12.478099,14.453128,60.049421,60.049421,63.49822,2.89024,-0.696642,15,1630.29,0.8367,26.3333,0.6571,1.1934,4.0000,12.0000,2.3918
MCL/C2N4S4_ICSD_170226,12.481607,7.1113997,8.601251,73.632928,90.0,90.0,1.88866,0.41024,14,732.523,0.3267,10.4000,0.6154,0.8367,3.0000,5.0000,0.5965
CUB/As4Bi1Cl7Hg6_ICSD_411204,12.494393,12.494393,12.494393,90.0,90.0,90.0,6.6758,-0.496062,205,1950.5,0.6067,45.2222,0.3425,2.1843,4.0000,18.0000,1.2819
BCT/Be3P2_ICSD_42038,12.501815,12.501815,12.501815,131.6496,131.6496,70.783017,2.2124,-0.182179,142,1068.61,0.6200,8.4000,0.3750,7.1204,2.0000,5.0000,0.1485
BCT/Ge1S2_ICSD_85527,12.504731,12.504731,12.504731,125.88373,125.88373,80.079314,2.93133,-0.311156,142,1239.1,0.5700,21.3333,0.6250,1.1547,2.0000,3.0000,2.1594
MCL/Cs2S7Sb4_ICSD_2193,12.503902,11.655315,12.170173,80.131118,90.0,90.0,3.71462,-0.640514,14,1747.4,1.1933,32.7692,0.6250,5.5157,3.0000,13.0000,1.5933
MCLC/As2C1Cl4H2_ICSD_249589,12.503889,12.503943,11.728122,65.465222,65.46525,100.12503,2.21238,-0.448728,9,1376.61,0.5483,15.7778,0.6364,6.7082,4.0000,9.0000,3.4128
MCL/O2Si1_ICSD_162629,12.516225,7.2475426,7.2702794,59.93583,90.000187,89.998523,2.79683,-2.78015,14,570.775,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,5.5454
ORCF/Cl12Hf1Se2_ICSD_404545,12.51742,12.256204,8.7219509,71.001141,67.788332,41.210527,3.10719,-0.815283,43,814.29,1.2400,22.9333,0.6800,3.3381,3.0000,15.0000,2.7880
BCC/C12Cl12N12O4P4S12Sb4_ICSD_80097,12.526375,12.526375,12.526375,109.47122,109.47122,109.47122,1.97245,-0.333104,217,1513.05,0.6286,14.1333,0.6341,1.0601,7.0000,15.0000,3.3130
MCL/N9O1P1_ICSD_261979,12.537825,7.4119998,8.2470084,67.701342,90.0,90.0,1.62084,0.240819,14,709.085,0.8333,7.8182,0.6071,0.3015,3.0000,11.0000,3.9306
ORCI/O72Si36_ICSD_281227,12.544426,12.544426,12.544426,144.88434,110.27344,80.532195,1.72854,-2.80908,71,1038.97,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,5.6267
