a,b,c,alpha,beta,gamma,density,enthalpy_formation_atom,spacegroup_relax,volume_cell,avg_en_dev,avg_mendeleev,p_fraction,group_std,num_unique_elements,num_constituent_atoms,egap,cluster
11.176429,11.17644,11.716439,90.0,90.0,119.99997,3.74361,-0.512398,194,1267.46,0.7617,43.1429,0.4062,6.7807,4.0,14.0,0.6532,0
10.295969,10.295969,10.042636,89.400221,89.400221,55.686438,6.94619,-0.375841,12,879.252,0.64,54.0,0.2903,2.4398,3.0,7.0,1.3157,0
13.980737,12.344382,4.2178025,89.953998,98.690851,92.143082,6.41193,-0.540563,12,719.053,1.1533,49.7391,0.6333,4.2384,3.0,23.0,0.8013,0
10.282486,10.282486,9.7398035,89.453255,89.453255,55.81023,6.43886,-0.333395,12,851.769,0.64,48.8571,0.2903,2.4398,3.0,7.0,1.5309,0
11.238509,12.292171,12.246144,90.0,90.000028,90.000001,4.71936,-1.38142,61,1691.75,1.7667,28.2222,0.6364,6.6144,3.0,9.0,2.6589,0
12.912194,13.116282,13.309216,90.0,90.0,90.0,6.18224,-0.443616,61,2254.05,0.64,54.0,0.3429,2.5071,3.0,8.0,1.9065,0
10.283969,10.445,10.602363,90.0,90.0,90.0,2.90861,-0.919007,61,1138.86,0.84,16.0,0.6957,0.7868,4.0,7.0,2.4555,0
10.307734,9.6238138,10.729613,79.108786,90.0,90.0,2.8213,-0.13464,13,1045.2,0.4,24.0,0.6383,0.5145,2.0,17.0,1.7288,0
13.845594,9.2336872,9.662836,70.49745,90.0,90.0,1.46296,-0.000409094,13,1164.48,0.0,16.0,0.6667,0.0,1.0,1.0,2.7519,0
10.308664,10.308664,10.308664,95.701848,95.701848,143.25407,3.08778,-0.97193,87,621.986,1.28,31.375,0.5217,7.7632,2.0,8.0,0.1625,0
13.616042,13.616042,13.616042,142.64302,142.64302,53.861382,5.7778,-0.92075,87,923.335,1.0267,45.5862,0.5056,2.1604,3.0,29.0,2.5889,0
10.687842,10.687842,13.806804,90.0,90.0,154.63917,3.87067,-1.38541,36,675.521,1.2467,41.0,0.625,9.2376,3.0,4.0,3.7393,0
13.833005,13.833005,8.9850874,90.001484,89.998516,139.6766,5.04314,-1.14709,36,1112.57,0.855,39.6667,0.5909,5.8912,4.0,18.0,0.8865,0
10.313919,10.313919,5.2442458,90.0,90.0,112.8178,6.82208,-0.58588,36,514.21,0.96,36.3333,0.3333,2.0656,3.0,6.0,2.2985,0
10.417834,10.417834,10.417834,108.51802,108.51802,108.51802,8.06545,-1.27234,161,899.789,0.96,31.3103,0.3393,1.8208,3.0,29.0,1.8599,0
10.554691,10.554691,10.554691,89.614911,89.614911,89.614911,4.39078,0.0347026,161,1175.73,0.2,25.2593,0.5645,0.9306,2.0,27.0,0.8683,0
